Date;P;Tmax;Tmin;Tmean;ET0;Qmm;NDSI1;NDSI2;NDSI3;NDSI4;NDSI5
2008-01-01;0.0;-15.113058;-19.77342;-17.44324;0.013545711;0.406549826461101;84.2635079;83.39368771;83.053467;81.94780447;81.2807309
2008-01-02;0.0;-10.958775;-18.517612;-14.738193;0.013317145;0.4051081604098204;78.84206151;76.93936877;76.23809524;73.7912179;72.63953488
2008-01-03;0.0;-9.735498;-16.33611;-13.035804;0.049792397;0.4022248283072595;75.59684123;74.82142857;74.82121972;72.18889809;72.63122924
2008-01-04;0.0;-6.494626;-10.5835905;-8.539108;0.12806656;0.3993414962046985;80.65087282;79.08554817;79.9657477;76.38856669;74.12873754
2008-01-05;4.2980494;-6.346567;-9.846663;-8.096616;0.327308657;0.3978998301534179;80.65087282;79.08554817;79.9657477;76.38856669;74.12873754
2008-01-06;3.2760983;-7.0449314;-9.738755;-8.391843;0.353408711;0.395016498050857;76.40731505;74.11877076;72.9732665;67.22203811;66.34385382
2008-01-07;2.8110492;-3.5352423;-11.822409;-7.6788263;0.789855712;0.3921331659482959;70.9684123;65.07475083;64.20634921;59.28748964;59.74169435
2008-01-08;0.0;-6.593038;-13.786301;-10.18967;0.232227978;0.3849248356918934;70.24605154;62.30066445;62.31411863;60.69594035;59.97757475
2008-01-09;0.0;-4.5935035;-10.7554865;-7.6744947;0.478925656;0.3762748393842104;70.24605154;62.30066445;62.31411863;60.69594035;59.86295681
2008-01-10;0.0;-4.3125443;-10.300546;-7.306545;0.531518739;0.366183177025247;72.2394015;73.25747508;72.59482038;72.29080365;70.67192691
2008-01-11;0.79265577;-5.128537;-9.335002;-7.231769;0.48322406;0.3632998449226859;74.32751455;79.24750831;75.96741855;74.86412593;69.66528239
2008-01-12;19.61605;-6.091097;-9.597594;-7.844345;0.369115142;0.3632998449226859;74.32751455;79.24750831;75.96741855;74.86412593;69.66528239
2008-01-13;0.0;-5.7716236;-10.270436;-8.02103;0.480381296;0.3589748467688445;74.32751455;79.24750831;75.96741855;72.53355427;66.53571429
2008-01-14;0.0;-6.958438;-9.975714;-8.467075;0.334536486;0.3517665165124419;74.32751455;79.24750831;75.96741855;72.53355427;66.53571429
2008-01-15;2.0994916;-6.933333;-10.491658;-8.712497;0.4409999;0.340233188102198;74.32751455;79.24750831;75.96741855;72.53355427;66.53571429
2008-01-16;7.7353287;-7.033414;-9.683222;-8.358317;0.473245688;0.340233188102198;74.32751455;79.24750831;75.96741855;72.53355427;66.53571429
2008-01-17;5.053689;-7.234184;-10.500931;-8.867558;0.506326404;0.3186081973329905;74.32751455;79.24750831;75.96741855;72.53355427;66.53571429
2008-01-18;1.8021148;-4.755021;-10.600689;-7.6778555;0.83686174;0.308516534974027;67.32917706;70.83388704;69.67669173;69.1955261;65.33222591
2008-01-19;0.0;-2.0294354;-8.325072;-5.177254;1.128875112;0.299866538666344;67.32917706;70.83388704;69.67669173;69.1955261;65.33222591
2008-01-20;0.0;-0.22035614;-4.3563843;-2.2883704;1.12607263;0.2984248726150635;67.32917706;70.85880399;69.7101086;69.1955261;65.34219269
2008-01-21;0.37742627;0.33328524;-3.9830284;-1.8248717;1.088255646;0.3013082047176245;75.3599335;73.84551495;72.96825397;72.23446562;71.60049834
2008-01-22;9.908197;-2.9064004;-15.583605;-9.245004;0.997221049;0.308516534974027;75.3599335;73.84551495;72.96825397;72.23446562;71.60049834
2008-01-23;0.0;-7.1869593;-18.24551;-12.716233;0.422268678;0.305633202871466;66.41479634;65.77491694;66.71679198;65.56172328;66.75830565
2008-01-24;0.68726236;0.21944179;-10.405485;-5.0930223;1.544353365;0.2969832065637829;71.50706567;73.00581395;72.29657477;71.05468103;71.06893688
2008-01-25;0.23140983;-3.0367181;-10.541931;-6.7893243;1.211371252;0.3027498707689049;66.95012469;66.44684385;68.75772765;68.30985915;67.96179402
2008-01-26;0.0;-1.9785851;-7.6225057;-4.800545;0.979035452;0.3027498707689049;66.95012469;66.44684385;68.75772765;68.30985915;67.96179402
2008-01-27;1.1152787;-3.1018767;-8.214902;-5.65839;0.818621951;0.3027498707689049;66.73150457;65.62043189;68.38596491;67.81275891;66.47757475
2008-01-28;0.0;-0.9098171;-6.069025;-3.4894211;0.840735876;0.3027498707689049;66.73150457;65.62043189;68.38596491;67.81275891;66.47757475
2008-01-29;0.0;-0.48812962;-3.8274465;-2.157788;0.806761702;0.3027498707689049;76.6641729;76.10797342;75.99749373;76.07622204;75.90116279
2008-01-30;0.46385247;-1.8813924;-9.747289;-5.814341;0.968906169;0.2969832065637829;80.18121363;78.99003322;79.01670844;79.45816073;79.44933555
2008-01-31;0.0;-7.349936;-11.625906;-9.487922;0.310193248;0.2883332102561;80.18121363;78.82392027;76.53717627;72.8086164;72.61378738
2008-02-01;0.17062297;-6.0548124;-10.20794;-8.131376;0.248741755;0.2883332102561;80.18121363;78.82392027;76.53717627;72.8086164;72.61378738
2008-02-02;1.603246;-8.230911;-15.494337;-11.862623;0.140725822;0.2868915442048195;80.18121363;78.82392027;76.53717627;72.8086164;72.61378738
2008-02-03;0.0;-6.5993905;-15.672152;-11.135773;0.402236668;0.2811248799996975;71.84289277;70.78903654;70.38429407;70.16735708;70.97674419
2008-02-04;3.3890657;-7.776083;-10.769891;-9.272987;0.21307152;0.2753582157945755;71.84289277;70.78903654;70.38429407;70.16735708;70.97674419
2008-02-05;0.0;-5.0155916;-12.048637;-8.532114;0.81320528;0.2695915515894534;71.84289277;70.78903654;70.38429407;70.16735708;70.97674419
2008-02-06;3.9054425;-3.6045878;-11.440054;-7.5223217;1.027252165;0.262383221333051;70.60931006;69.19269103;67.94319131;68.15907208;68.55232558
2008-02-07;0.0;-10.167501;-15.148941;-12.65822;0.016903033;0.2580582231792094;69.62842893;68.43355482;67.10776942;68.15907208;68.55232558
2008-02-08;0.0;-7.372521;-15.662335;-11.517429;0.393556956;0.2551748910766485;71.93100582;69.97009967;69.19298246;68.88152444;68.85465116
2008-02-09;0.0;-5.1841674;-10.993615;-8.088891;0.788055593;0.262383221333051;72.45885287;72.49501661;71.01587302;70.52361226;68.6744186
2008-02-10;0.0;-4.5760345;-10.463732;-7.5198827;0.781870239;0.2638248873843314;80.37240233;79.09634551;78.18462824;77.26843413;76.84883721
2008-02-11;0.0;-5.8851295;-11.927768;-8.906448;0.933687162;0.2580582231792094;73.62011638;72.71262458;71.67000835;70.37862469;68.42109635
2008-02-12;0.0;-4.959865;-10.695026;-7.827447;1.072298918;0.2638248873843314;82.55694098;81.91694352;80.81119465;79.85004143;78.99418605
2008-02-13;0.0;-2.5583413;-10.97326;-6.7658005;1.494020596;0.2710332176407339;77.81379884;76.70431894;75.09607352;74.35045568;73.99169435
2008-02-14;0.0;-3.33667;-9.306529;-6.3215995;1.089953112;0.2724748836920145;83.05320033;82.71262458;81.2213868;80.28666114;79.56478405
2008-02-15;0.0;-6.0484285;-13.523789;-9.786109;0.586555798;0.2710332176407339;82.42892768;81.72923588;80.80367586;80.29743165;79.93272425
2008-02-16;0.0;-10.1221695;-15.929226;-13.025699;0.004444737;0.273916549743295;83.95594347;82.50498339;81.43024227;81.02651201;79.68106312
2008-02-17;0.0;-6.9072022;-14.193375;-10.550289;0.36443171;0.268149885538173;84.69742311;83.87209302;83.38011696;82.62800331;81.92358804
2008-02-18;0.0;-5.8895893;-11.37496;-8.632275;0.868964093;0.2667082194868925;78.65419784;77.50332226;76.46115288;75.54515327;74.86627907
2008-02-19;0.0;-0.37840873;-9.666618;-5.0225134;1.676016685;0.2695915515894534;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
2008-02-20;0.0;-2.8451874;-8.417613;-5.6314;0.926269407;0.2638248873843314;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
2008-02-21;0.0;-3.765929;-8.36872;-6.0673237;0.85012389;0.265266553435612;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
2008-02-22;0.0;-0.9795798;-8.409961;-4.6947703;1.637449673;0.2695915515894534;86.9592685;86.03571429;84.9273183;84.42833471;84.75249169
